GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
patient-service,tn.esprit.patient,PatientApplication,5,3,0,0,2,1,1,1,1,1
patient-service,tn.esprit.patient.service,PredictServiceClient.MeasurementStats,0,27,0,0,0,8,0,2,0,2
patient-service,tn.esprit.patient.service,PredictServiceClient.DiseaseInfo,0,15,0,0,0,6,0,1,0,1
patient-service,tn.esprit.patient.service,MesureServiceImpl,88,91,6,2,22,29,8,5,5,4
patient-service,tn.esprit.patient.service,PatientMaladieServiceImpl,33,157,3,9,4,36,5,12,2,9
patient-service,tn.esprit.patient.service,MaladieServiceImpl,0,163,1,7,0,38,1,12,0,9
patient-service,tn.esprit.patient.service,AlerteServiceImpl,103,86,7,1,24,26,11,4,7,4
patient-service,tn.esprit.patient.service,PatientServiceImpl,143,97,8,4,25,27,14,6,9,5
patient-service,tn.esprit.patient.service,PredictServiceClient,141,730,37,52,16,151,32,37,1,19
patient-service,tn.esprit.patient.service,MedecinServiceImpl,25,226,4,16,3,54,4,19,1,12
patient-service,tn.esprit.patient.service,SymptomeServiceImpl,87,53,7,1,21,18,9,3,5,3
patient-service,tn.esprit.patient.model,Alerte,24,62,0,0,0,11,6,12,6,12
patient-service,tn.esprit.patient.model,Mesure,28,52,0,0,1,10,7,10,7,10
patient-service,tn.esprit.patient.model,Sexe,0,15,0,0,0,3,0,1,0,1
patient-service,tn.esprit.patient.model,Maladie.MaladieBuilder,14,49,0,0,0,1,1,8,1,8
patient-service,tn.esprit.patient.model,NiveauRisque,0,27,0,0,0,5,0,1,0,1
patient-service,tn.esprit.patient.model,PatientMaladie,12,38,0,0,0,8,3,8,3,8
patient-service,tn.esprit.patient.model,Symptome.SymptomeBuilder,12,42,0,0,0,1,1,7,1,7
patient-service,tn.esprit.patient.model,TypeMesure,0,39,0,0,0,7,0,1,0,1
patient-service,tn.esprit.patient.model,Patient.PatientBuilder,16,66,0,2,0,1,1,10,1,9
patient-service,tn.esprit.patient.model,Gravite,0,21,0,0,0,4,0,1,0,1
patient-service,tn.esprit.patient.model,Medecin.MedecinBuilder,10,35,0,0,0,1,1,6,1,6
patient-service,tn.esprit.patient.model,Mesure.MesureBuilder,16,56,0,0,0,1,1,9,1,9
patient-service,tn.esprit.patient.model,SourceAlerte,0,21,0,0,0,4,0,1,0,1
patient-service,tn.esprit.patient.model,Patient,20,65,0,0,0,11,5,13,5,13
patient-service,tn.esprit.patient.model,Symptome,20,40,0,0,1,8,5,8,5,8
patient-service,tn.esprit.patient.model,Maladie,4,66,0,0,0,10,1,14,1,14
patient-service,tn.esprit.patient.model,Alerte.AlerteBuilder,16,66,0,2,0,1,1,10,1,9
patient-service,tn.esprit.patient.model,Source,0,21,0,0,0,4,0,1,0,1
patient-service,tn.esprit.patient.model,PatientMaladie.PatientMaladieBuilder,10,35,0,0,0,1,1,6,1,6
patient-service,tn.esprit.patient.model,Medecin,8,42,0,0,0,8,2,9,2,9
patient-service,tn.esprit.patient.controller,AlerteController,40,21,2,0,8,5,6,3,5,3
patient-service,tn.esprit.patient.controller,SymptomeController,25,15,0,0,5,4,4,2,4,2
patient-service,tn.esprit.patient.controller,MesureController,25,15,0,0,5,4,4,2,4,2
patient-service,tn.esprit.patient.controller,PatientController,44,21,0,0,8,5,7,3,7,3
patient-service,tn.esprit.patient.controller,PatientMaladieController,28,0,0,0,7,0,4,0,4,0
patient-service,tn.esprit.patient.controller,MedecinController,54,0,0,0,11,0,8,0,8,0
patient-service,tn.esprit.patient.controller,MaladieController,40,0,0,0,9,0,6,0,6,0
patient-service,tn.esprit.patient.dto,MedecinDTO,19,31,0,0,2,6,5,6,5,6
patient-service,tn.esprit.patient.dto,SymptomeCreationDTO,0,40,0,0,0,7,0,9,0,9
patient-service,tn.esprit.patient.dto,PatientMaladieDTO.PatientMaladieDTOBuilder,10,35,0,0,0,1,1,6,1,6
patient-service,tn.esprit.patient.dto,MedecinCreationDTO,15,25,0,0,2,5,4,5,4,5
patient-service,tn.esprit.patient.dto,PatientMaladieDTO,19,31,0,0,2,6,5,6,5,6
patient-service,tn.esprit.patient.dto,PredictRequestDTO,67,43,0,0,10,4,19,4,19,4
patient-service,tn.esprit.patient.dto,PredictResponseDTO,14,16,0,0,3,3,4,3,4,3
patient-service,tn.esprit.patient.dto,MesureCreationDTO.MesureCreationDTOBuilder,12,42,0,0,0,1,1,7,1,7
patient-service,tn.esprit.patient.dto,MaladieDTO.MaladieDTOBuilder,14,49,0,0,0,1,1,8,1,8
patient-service,tn.esprit.patient.dto,AlerteCreationDTO,0,50,0,0,0,8,0,11,0,11
patient-service,tn.esprit.patient.dto,PredictRequestDTO.PredictRequestDTOBuilder,22,77,0,0,0,1,1,12,1,12
patient-service,tn.esprit.patient.dto,MesureDTO,31,49,0,0,2,9,8,9,8,9
patient-service,tn.esprit.patient.dto,AlerteDTO,31,49,0,0,2,9,8,9,8,9
patient-service,tn.esprit.patient.dto,PredictResponseDTO.PredictResponseDTOBuilder,6,21,0,0,0,1,1,4,1,4
patient-service,tn.esprit.patient.dto,MesureCreationDTO,0,60,0,0,0,9,0,13,0,13
patient-service,tn.esprit.patient.dto,PatientDTO.PatientDTOBuilder,16,56,0,0,0,1,1,9,1,9
patient-service,tn.esprit.patient.dto,MesureDTO.MesureDTOBuilder,16,56,0,0,0,1,1,9,1,9
patient-service,tn.esprit.patient.dto,MaladieCreationDTO,23,37,0,0,2,7,6,7,6,7
patient-service,tn.esprit.patient.dto,PatientMaladieCreationDTO,15,25,0,0,2,5,4,5,4,5
patient-service,tn.esprit.patient.dto,MaladieDTO,27,43,0,0,2,8,7,8,7,8
