GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
user-service,tn.esprit.user.config,SecurityConfig,53,0,0,0,10,0,5,0,5,0
user-service,tn.esprit.user.exception,EmailDeliveryException,0,5,0,0,0,2,0,1,0,1
user-service,tn.esprit.user.exception,GlobalExceptionHandler,0,54,0,0,0,11,0,7,0,7
user-service,tn.esprit.user.exception,ResourceNotFoundException,0,4,0,0,0,2,0,1,0,1
user-service,tn.esprit.user.service,UserServiceImpl,5,406,4,18,1,90,4,24,0,17
user-service,tn.esprit.user.service,EmailService,7,55,0,0,2,17,0,2,0,2
user-service,tn.esprit.user.controller,UserController,0,56,0,0,0,15,0,7,0,7
user-service,tn.esprit.user.controller,AuthController,0,43,0,0,0,11,0,5,0,5
user-service,tn.esprit.user.dto,UserDTO,39,61,0,0,2,11,10,11,10,11
user-service,tn.esprit.user.dto,AuthResponseDTO.AuthResponseDTOBuilder,8,38,0,2,0,1,1,6,1,5
user-service,tn.esprit.user.dto,ResetPasswordRequestDTO,109,19,22,0,2,4,18,4,7,4
user-service,tn.esprit.user.dto,UserDTO.UserDTOBuilder,20,70,0,0,0,1,1,11,1,11
user-service,tn.esprit.user.dto,LoginRequestDTO.LoginRequestDTOBuilder,6,21,0,0,0,1,1,4,1,4
user-service,tn.esprit.user.dto,ForgotPasswordRequestDTO.ForgotPasswordRequestDTOBuilder,4,14,0,0,0,1,1,3,1,3
user-service,tn.esprit.user.dto,ResetPasswordRequestDTO.ResetPasswordRequestDTOBuilder,6,21,0,0,0,1,1,4,1,4
user-service,tn.esprit.user.dto,UserCreationDTO.UserCreationDTOBuilder,26,65,1,1,0,1,3,9,2,9
user-service,tn.esprit.user.dto,UserCreationDTO,38,57,0,0,2,10,9,11,9,11
user-service,tn.esprit.user.dto,AuthResponseDTO,21,24,0,0,3,4,5,5,5,5
user-service,tn.esprit.user.dto,LoginRequestDTO,11,19,0,0,2,4,3,4,3,4
user-service,tn.esprit.user.dto,ForgotPasswordRequestDTO,72,13,14,0,2,3,13,3,6,3
user-service,tn.esprit.user.model,User,3,127,0,0,1,15,1,26,1,26
user-service,tn.esprit.user.model,Role,0,21,0,0,0,4,0,1,0,1
user-service,tn.esprit.user.model,User.UserBuilder,36,81,0,0,0,1,3,12,3,12
user-service,tn.esprit.user.security,JwtUtils,4,69,1,1,1,27,1,5,0,5
user-service,tn.esprit.user,UserApplication,8,0,0,0,3,0,2,0,2,0
